Date,Close-Last,Volume,Open,High,Low
2017-03-20,107.66,5301015,107.27,107.85,107.02
2017-03-21,108.04,7292742,108.06,108.23,107.4
2017-03-22,108.39,8103611,107.65,108.85,107.52
2017-03-23,107.87,5451076,108.29,108.86,107.75
2017-03-24,107.99,6332612,107.93,108.42,107.7
2017-03-27,106.28,6467238,107,107.35,105.82
2017-03-28,107.17,6331251,106.28,107.74,106.12
2017-03-29,108.07,4918261,106.95,108.0799,106.88
2017-03-30,107.78,6797633,108.15,108.68,107.2
2017-03-31,107.37,6155281,107.7,108.14,107.05
2017-04-03,107.8,5800871,107.22,107.97,106.38
2017-04-04,108.66,4686859,107.88,108.72,107.01
2017-04-05,108.64,6391122,109.65,110.67,108.56
2017-04-06,109.29,3929383,109.12,109.65,108.75
2017-04-07,108.86,4889410,109.38,109.58,108.665
2017-04-10,109.43,4812093,109.12,110.2,108.97
2017-04-11,108.97,3956317,109.53,109.54,108.06
2017-04-12,108.97,5051747,109.36,109.36,108.45
2017-04-13,106.1,6883287,108.64,108.735,105.93
2017-04-17,106.17,5266673,106.17,106.4837,105.65
2017-04-18,105.68,4244778,105.81,106.68,105.321
2017-04-19,104.23,6659707,105.89,106.14,103.83
2017-04-20,104.88,4973573,104.4,105.69,104.36
2017-04-21,104.89,5425278,104.8,105.43,104.29
2017-04-24,105.93,4537551,105.79,106.41,105.37
2017-04-25,106.73,4612634,106.3,106.97,106.18
2017-04-26,106.08,6677812,106.4,107.48,105.97
2017-04-27,105.47,5776003,105.96,105.98,104.67
2017-04-28,106.7,6848338,107.05,107.6,105.99
2017-05-01,105.92,4954402,106.26,106.73,105.76
2017-05-02,105.36,5001880,106.11,106.53,105.09
2017-05-03,106.72,5656165,105.36,107.26,105.13
2017-05-04,104.81,8034112,106.24,106.33,104.14
2017-05-05,105.79,5059798,104.92,105.885,104.7
2017-05-08,106.68,5163307,105.93,106.72,105.82
2017-05-09,105.08,5022543,106.51,106.75,104.815
2017-05-10,106.5,5582598,105.819,106.83,105.54
2017-05-11,106.21,4631113,107.08,107.08,105.63
2017-05-12,105.96,4488149,106.06,106.2887,105.48
2017-05-15,106.85,6337248,107.15,107.71,106.675
2017-05-16,107.25,4988160,107.57,107.66,106.94
2017-05-17,104.7,6378211,105.53,106.27,104.62
2017-05-18,105.17,5617854,104.55,105.68,103.84
2017-05-19,106.52,8379408,105.52,106.52,105.17
2017-05-22,106.12,4491132,107.09,107.09,105.75
2017-05-23,106.27,3457120,106.07,106.56,105.98
2017-05-24,106.22,3470627,106.1,106.36,105.725
2017-05-25,105.11,5291570,106.1,106.71,104.72
2017-05-26,104.72,3746477,105.05,105.285,104.6
2017-05-30,104.06,4283456,104.35,104.7105,103.7505
2017-05-31,103.48,8034602,103.55,103.89,103.07
2017-06-01,104.27,4759738,103.69,104.28,103.43
2017-06-02,103.11,5860648,103.82,103.94,102.77
2017-06-05,103.19,4517112,102.8,103.58,102.6301
2017-06-06,104.17,4683021,103.11,104.45,102.76
2017-06-07,103.77,7190276,103.97,104.43,102.55
2017-06-08,104,6460325,103.44,104.74,103.44
2017-06-09,106.4,6589063,104.01,106.49,104.01
2017-06-12,108.04,8690153,107.42,108.43,107.2846
2017-06-13,108.13,6089155,108.34,108.49,107.16
2017-06-14,106.6,6192896,107.91,107.99,105.74
2017-06-15,106.33,5441421,106.5,106.8,105.87
2017-06-16,108.35,11628150,106.94,108.36,106.21
2017-06-19,107.46,4478874,108.31,108.38,107.14
2017-06-20,106.48,5166555,106.25,106.6,105.38
2017-06-21,104.49,6987283,105.89,106.9,103.92
2017-06-22,104.45,4196653,104.48,105.14,104.04
2017-06-23,105,5763098,104.25,105.42,104.24
2017-06-26,104.14,3602029,105.03,105.19,104.03
2017-06-27,104.07,4155180,104.73,104.89,104.03
2017-06-28,104.28,4156329,104.43,104.9,104.04
2017-06-29,104.12,4282767,104.38,105.15,104.05
2017-06-30,104.33,5496922,104.53,104.72,103.89
2017-07-03,106.3,4419061,104.24,106.96,104.24
2017-07-05,104.62,4476953,105.99,106.3,104.27
2017-07-06,103.82,5084763,104.67,105.13,103.71
2017-07-07,103.49,6288403,103.59,103.76,102.81
2017-07-10,103.04,4624804,103.44,103.581,102.6
2017-07-11,103.12,4322332,103.15,103.5,102.55
2017-07-12,103.89,3976570,104,104.75,103.47
2017-07-13,104.13,4439125,103.8,104.21,103.46
2017-07-14,104.44,3591805,104.38,104.64,103.73
2017-07-17,104.21,5570540,104.32,104.97,104.08
2017-07-18,103.72,4315980,104.6,104.6,103.51
2017-07-19,104.46,4925916,103.56,104.48,103.51
2017-07-20,104.63,5353741,105,105.37,103.815
2017-07-21,103.25,5300142,104.18,104.38,103.15
2017-07-24,103.2,4064662,103.18,103.57,102.92
2017-07-25,104.39,7085565,104.45,105.15,104.32
2017-07-26,105.12,5880748,104.63,106.08,104.2
2017-07-27,106.11,5887064,104.88,106.3166,104.61
2017-07-28,108.12,7812377,106.71,109.13,106.36
2017-07-31,109.19,7545793,108.39,110,108.15
2017-08-01,110.78,8148627,109.54,110.97,109.42
2017-08-02,110.46,6198277,110.39,111.195,109.85
2017-08-03,109.43,5604427,110.23,110.45,109.05
2017-08-04,110.11,4642402,109.43,110.2,109.43
2017-08-07,109.78,4762664,109.81,110.29,109.5801
2017-08-08,110.35,4106768,110,110.71,109.77
2017-08-09,110.89,3966793,110.74,111.4109,110.26
2017-08-10,110.11,4941604,111.23,111.44,110.03
2017-08-11,109.23,3382440,110.2,110.49,109.13
2017-08-14,108.71,4280841,109.26,109.82,108.32
2017-08-15,108.57,5310334,108.75,108.9,107.525
2017-08-16,106.84,4186362,107.63,107.92,106.69
2017-08-17,105.92,5735318,106.61,106.87,105.91
2017-08-18,106.48,5466718,105.84,107.34,105.5
2017-08-21,105.78,3506005,106.48,106.48,105.3
2017-08-22,106.36,5608620,105.99,106.92,105.81
2017-08-23,106.61,4185754,106.21,107.06,106.11
2017-08-24,107.44,5058786,106.5,107.67,106.33
2017-08-25,108.23,4383476,107.82,108.71,107.52
2017-08-28,107.76,3681492,108.54,108.59,107.27
2017-08-29,107.86,3229460,107.43,108.05,107.04
2017-08-30,107.73,3125932,107.58,107.8422,107.1
2017-08-31,107.62,5508068,108,108.23,107.5
2017-09-01,108.76,3646871,107.68,109.16,107.51
2017-09-05,109.44,5509055,109.36,110.26,108.7
2017-09-06,111.79,8563385,110,112.23,109.8
2017-09-07,111.8,5937756,112.18,112.87,111.36
2017-09-08,110.78,4033102,111.59,111.75,110.53
2017-09-11,112.52,5972996,111.83,112.57,111.52
2017-09-12,112.49,5112712,112.82,112.9467,111.855
2017-09-13,114.18,5889182,112.49,114.32,112.28
2017-09-14,114.45,5818509,114.26,115.3379,114.18
2017-09-15,114.63,8353785,114.83,114.91,113.63
2017-09-18,115.19,4950740,114.42,115.22,114.32
2017-09-19,116.34,6183953,115.25,116.4209,115.19
2017-09-20,116.37,5034574,116.5,117.15,116.195
2017-09-21,116.47,4153395,116.22,116.515,115.83
2017-09-22,117.29,5306219,116.41,117.83,116.27
2017-09-25,117.99,5976237,117.23,118.33,117.02
2017-09-26,117.52,4414798,117.79,118.0254,117.25
2017-09-27,117.45,3886991,117.46,117.5952,116.77
2017-09-28,117.62,4948411,117.17,118.13,117.02
2017-09-29,117.5,4853420,117.17,117.52,116.73
2017-10-02,117.43,4276244,116.42,117.79,115.533
2017-10-03,117.82,3892189,117.08,118.25,117.01
2017-10-04,117.58,3443437,117.82,117.87,117.1278
2017-10-05,118.58,5470850,117.45,118.69,117.33
2017-10-06,117.03,3528743,117.95,118.15,116.8
2017-10-09,117.71,2946379,117.34,118.08,117.01
2017-10-10,118.8,5682946,118.4,119.815,118.29
2017-10-11,119.33,3922331,119.21,119.52,118.58
2017-10-12,119.14,4029019,118.49,119.65,118.31
2017-10-13,119.16,4640071,119.79,120,119.07
2017-10-16,120.13,5499579,119.84,120.89,119.43
2017-10-17,120.22,4387082,120.23,120.74,119.8291
2017-10-18,118.15,5505082,119.4,120.02,117.99
2017-10-19,118.2,4391188,118.06,118.74,117.95
2017-10-20,118.64,4922803,118.61,118.78,118.07
2017-10-23,118.93,3872373,118.72,119.3,118.45
2017-10-24,119.23,4435414,119.48,119.92,119.07
2017-10-25,118.44,4504070,119,119.44,118.145
2017-10-26,118.44,4090355,118.78,119,118.14
2017-10-27,113.54,14531850,116.13,116.4,112.57
2017-10-30,114.39,7517203,113.17,115.1,112.841
2017-10-31,115.89,7151753,114.45,116.38,113.82
2017-11-01,115.9,5027169,116.3,116.97,115.35
2017-11-02,115.33,4329603,116.21,116.47,114.705
2017-11-03,114.99,4101697,115.48,115.75,114.73
2017-11-06,117.04,5945820,115.37,117.155,114.99
2017-11-07,117.24,5219413,117.38,118,116.4757
2017-11-08,116.67,5092845,116.78,117.15,115.9
2017-11-09,117.24,5102963,115.9,117.5,115.62
2017-11-10,117.18,5150842,116.71,117.31,116.1
2017-11-13,117.23,4274406,117.22,117.765,116.68
2017-11-14,116.92,6996414,116.82,117.255,116.25
2017-11-15,116.45,5243542,116.21,117.2295,116.07
2017-11-16,114.57,5888731,115.25,115.82,114.38
2017-11-17,114.71,4337461,114.67,114.99,113.9
2017-11-20,114.72,4634152,114.77,115.03,114.44
2017-11-21,115.17,4592439,115.14,115.86,114.92
2017-11-22,115.91,3950834,115.49,116.7798,115.32
2017-11-24,116.51,1744165,116.55,116.85,116.31
2017-11-27,115.59,4490338,115.85,116.03,115.24
2017-11-28,116.45,4003664,115.92,116.81,115.74
2017-11-29,117.18,3660478,116.2,117.25,115.83
2017-11-30,118.99,7896508,117.26,119.15,117.23
2017-12-01,119.51,6832175,119.81,120.46,118.52
2017-12-04,120.84,7366332,119.81,122.3,119.37
2017-12-05,120.39,4380115,120.77,121.4,120.151
2017-12-06,119.61,4852312,120.3,120.88,119.52
2017-12-07,119.63,4908470,120,120.1,118.96
2017-12-08,119.92,4122000,120.01,120.2412,119.1
2017-12-11,120.42,5427178,120.29,121.11,120.12
2017-12-12,119.68,4300171,120.63,120.74,119.56
2017-12-13,119.93,4399535,119.43,120.17,118.68
2017-12-14,119.53,3736920,119.81,120.2802,119.5
2017-12-15,119.73,11224690,120.44,120.47,119.51
2017-12-18,119.7,4654119,119.92,121.29,119.62
2017-12-19,119.84,4596633,120.32,120.75,119.51
2017-12-20,120.89,6279887,120.28,121.3,119.65
2017-12-21,124.82,10103890,121.39,125.35,121.07
2017-12-22,124.98,4730215,124.85,125.65,124.5748
2017-12-26,125.98,3347917,125.23,126.14,125.0514
2017-12-27,125.55,3451719,125.96,126.2,125.13
2017-12-28,125.58,2191819,125.69,125.89,125.29
2017-12-29,125.19,3828495,125.36,125.98,125.19
2018-01-02,127.58,5626216,125.71,127.74,125.54
2018-01-03,128.51,5804708,127.46,128.94,126.9
2018-01-04,128.11,4593867,127.95,128.35,127.22
2018-01-05,127.9,4186073,127.97,128.1,127.1
2018-01-08,128.53,4823393,127.86,128.63,127.63
2018-01-09,127.84,4422318,128.43,128.935,127.79
2018-01-10,128.66,5287251,128.31,128.76,127.7999
2018-01-11,132.57,11639800,128.92,133.32,128.76
2018-01-12,133.6,7227865,132.19,133.85,132.11
2018-01-16,132.01,6157172,133.67,133.88,131.6
2018-01-17,132.36,5628864,132.19,132.8,130.96
2018-01-18,131.59,5875343,132.35,132.5,131.03
2018-01-19,131.3,6012290,131.83,132,130.21
2018-01-22,132.56,5075876,131.3,132.56,131.28
2018-01-23,131.02,5745213,132.38,132.56,130.73
2018-01-24,131.39,6638079,131.38,132.6678,131.07
2018-01-25,130.65,4593793,131.76,131.87,130.34
2018-01-26,131.19,6297284,130.71,131.75,130.37
2018-01-29,128.48,6345520,130.06,131.58,128.32
2018-01-30,125.23,8076217,127.61,128.01,125.19
2018-01-31,125.35,9626571,125.42,125.815,124.05
2018-02-01,125.57,7811836,125.6,125.63,124.06
2018-02-02,118.58,13108900,123.95,123.95,117.64
2018-02-05,112.62,15301090,116.99,118.3,108.02
2018-02-06,117.18,18405170,111.2,117.63,110.76
2018-02-07,115.29,11527440,117.4,119.27,115.23
2018-02-08,112.3,9876607,115.17,115.89,112.21
2018-02-09,113.5,10912220,113.34,114.62,109.5
2018-02-12,113.98,8357746,114.8,115.85,112.91
2018-02-13,113.29,7062657,113.34,113.605,111.8586
2018-02-14,113.63,7027403,112.5,114.05,111.4
2018-02-15,112.53,5394527,112.86,113.02,110.84
2018-02-16,112.14,5946069,112.35,112.94,111.21
2018-02-20,110.98,6695321,112.28,112.76,110.58
2018-02-21,109.06,6884889,111.14,112.06,109.06
2018-02-22,109.89,7427540,109.55,111.44,108.9
2018-02-23,112.59,6452026,110.46,112.74,110.25
2018-02-26,114.6,7337901,113.18,114.66,112.85
2018-02-27,113.61,6047547,114.87,116.05,113.61
2018-02-28,111.92,7419278,115.02,115.4613,111.88
2018-03-01,112.04,7512288,111.53,113.9001,110.97
2018-03-02,111.64,6214980,111.5,112.18,109.83
2018-03-05,113.15,7814570,111.4,113.33,111.02
2018-03-06,113.65,7950874,113.85,115.52,113.02
2018-03-07,113.84,6653562,112.95,115.08,112.63
2018-03-08,113.35,5995759,114.6,114.745,112.6
2018-03-09,117.22,8830625,114.31,117.3901,114.24
2018-03-12,116.79,6822402,117.5,118.35,116.56
2018-03-13,116.46,6694798,117.23,118.18,116
2018-03-14,115.13,5048306,116.98,117.45,114.86
2018-03-15,115.58,4503434,115.36,116.2101,114.75
2018-03-16,115.4,14355720,115.4,116.19,114.561
2018-03-19,113.89,4793529,115.07,115.23,113.22
2018-03-20,114.5,4582669,114.55,115.7,114.435
2018-03-21,117.04,5896329,114.98,118.11,114.8
2018-03-22,113.7,6170784,115.55,115.74,113.48
2018-03-23,112.98,6226978,114.37,115.77,112.7
2018-03-26,115.35,6068875,114.24,115.585,113.25
2018-03-27,114.66,5244745,115.75,116.86,113.98
2018-03-28,112.1,6981390,114.93,115.26,112.06
2018-03-29,114.04,6621806,112.29,114.43,112.28
2018-04-02,112.24,6202050,113.89,114.39,110.54
2018-04-03,114.83,6714511,112.52,114.98,112.09
2018-04-04,114.48,5698576,113.05,114.79,112.43
2018-04-05,117.29,7030017,114.88,117.89,114.7
2018-04-06,114.76,7062948,116.38,117.01,113.39
2018-04-09,115.98,6830591,115.3,117.17,114.88
2018-04-10,118.85,7636845,117.6,119.83,117.6
2018-04-11,119.25,6156241,118.69,119.38,117.75
2018-04-12,119.23,6685506,119.71,120.669,118.65
2018-04-13,119.92,5188639,119.52,120.789,119.22
2018-04-16,120.7,4588600,120.6,121.7099,119.77
2018-04-17,121.46,5981191,120.94,122,120.56
2018-04-18,123.82,8940730,122.46,124.89,122.4
2018-04-19,123.71,7106609,123.97,125,123.21
2018-04-20,122.31,7556961,123.38,123.46,121.46
2018-04-23,123.58,5971659,122,123.61,121.8
2018-04-24,122.54,7976965,124.36,125.04,121.75
2018-04-25,122.72,5260533,122.34,122.9,121.12
2018-04-26,124.22,6228662,122.67,124.3,122.3
2018-04-27,126.62,8835201,125.5,127.05,124.68
2018-04-30,125.11,7625715,127.02,127.9,125.05
2018-05-01,124.86,7093168,124.03,124.92,123.08
2018-05-02,125.49,5904391,124.2,126.47,124.09
2018-05-03,126.01,6727389,124.59,126.12,123.83
2018-05-04,125.53,5400810,125.21,126.84,124.7101
2018-05-07,124.94,6999937,126.59,128.4,124.44
2018-05-08,126.57,8882661,124.93,126.75,123.63
2018-05-09,128.72,11395850,128.42,130.42,128.085
2018-05-10,128.82,5444773,129.69,129.81,128.39
2018-05-11,129.84,8091770,129.39,130.76,128.52
2018-05-14,130.39,6206925,130.25,131.08,129.8
2018-05-15,129.74,5197577,130.24,130.27,129.25
2018-05-16,129.56,5399240,129.29,129.72,128.3
2018-05-17,129.46,5240163,128.76,129.57,128.38
2018-05-18,127.86,6379184,128.92,129.15,127.8
2018-05-21,129.37,5080827,128.79,129.41,128.27
2018-05-22,128.23,5443908,129.09,130.39,128.1
2018-05-23,128.7,6012202,127.09,128.79,126.55
2018-05-24,126.61,5901839,127.4,127.4,125.85
2018-05-25,122.19,8922232,124.54,124.76,121.22
2018-05-29,121.39,7383569,121.1,122.43,120.06
2018-05-30,125.16,7103963,122.65,125.665,122.34
2018-05-31,124.3,7459684,124.08,124.82,123.46
2018-06-01,123.85,5746576,125.49,125.55,123.43
2018-06-04,122.26,5755571,124.53,125.41,122.17
2018-06-05,122.73,5672307,122.01,123.71,121.55
2018-06-06,123.38,6192781,123.12,123.69,122.06
2018-06-07,126.96,8607052,124.54,127.98,124.41
2018-06-08,126.44,5103068,127.12,127.38,125.68
2018-06-11,127.56,6071138,126.77,128.19,125.86
2018-06-12,127.08,4455762,127.64,128.38,126.33
2018-06-13,127.07,6130719,126.81,127.82,126.09
2018-06-14,126.51,5022086,127.38,127.96,126.38
2018-06-15,124.04,13215610,127.1,127.12,123.84
2018-06-18,125.97,7705744,124.35,126.98,124.1
2018-06-19,125.54,5940997,124.32,125.89,123.875
2018-06-20,125.29,7980312,126.12,126.46,124.3
2018-06-21,122.59,7256287,124.5,124.59,122.16
2018-06-22,125.1,8911770,125.41,126.569,124.82
2018-06-25,122.61,5797958,124.43,124.64,121.93
2018-06-26,124.16,4585249,123.03,124.61,122.57
2018-06-27,126,6330340,125.15,127.42,125.06
2018-06-28,125.66,3811894,126.54,126.86,124.995
2018-06-29,126.43,5669674,125.74,127.73,125.74
2018-07-02,124.25,5069075,125.28,125.29,123.561
2018-07-03,124.73,3919561,125.46,126.69,124.55
2018-07-05,123.98,4973099,126.11,126.25,123.82
2018-07-06,124.14,4019858,123.52,124.515,123.1861
2018-07-09,125.99,3928265,125,126.28,124.69
2018-07-10,127.59,5087827,127.33,128.51,126.75
2018-07-11,123.52,6372538,126.23,126.68,122.965
2018-07-12,124.26,3744324,124.44,124.95,123.59
2018-07-13,124.04,3352685,124.2,124.88,123.63
2018-07-16,122.98,4314790,123.01,123.88,121.88
2018-07-17,121.91,4122598,122.36,122.9552,121.8
2018-07-18,121.53,6012474,121.24,121.67,119.67
2018-07-19,121.67,4462296,121.1,122.14,121.01
2018-07-20,122.27,5394730,121.25,122.35,121.01
2018-07-23,121.33,5355372,122.35,123.07,121.16
2018-07-24,123.85,4423381,121.87,124.16,121.86
2018-07-25,124.9,4278188,123.62,125.23,123.2725
2018-07-26,123.95,5539359,124.7,125.38,123.8
2018-07-27,125.97,7580925,122.79,127.04,122.08
2018-07-30,127.83,5728455,126.76,128.41,126.22
2018-07-31,126.27,5893773,128,128.55,126.13
2018-08-01,125.39,4660934,125.31,125.92,124.745
2018-08-02,123.76,4637100,124.44,124.81,123.3
2018-08-03,124.05,5299399,124.15,124.25,123.3315
2018-08-06,124.3,4455635,124.42,124.94,123.542
2018-08-07,125.18,4541967,125.54,125.7,124.75
2018-08-08,123.88,5955168,124.52,124.79,123.315
2018-08-09,122.53,5217054,123.96,124.37,122.26
2018-08-10,123.34,6126472,122.17,123.52,121.5
2018-08-13,122.44,4360024,123.31,123.6765,122.2626
2018-08-14,122.58,3621275,122.92,123.65,122
2018-08-15,117.94,9474619,121.7,121.73,117.43
2018-08-16,117.66,5454124,117.7,118.31,117.18
2018-08-17,117.8,6109506,118.15,118.58,117.091
2018-08-20,117.75,5393835,118,118.32,117.33
2018-08-21,117.94,4812127,118.375,118.93,117.79
2018-08-22,118.92,3636205,118.54,119.4569,118.42
2018-08-23,118.1,3830987,118.39,118.82,117.7
2018-08-24,119.01,4376654,118.9,119.54,118.72
2018-08-27,120.35,3899405,119.36,120.48,119.17
2018-08-28,119.86,4685672,120.6,121.34,119.75
2018-08-29,120.22,4099562,120,120.83,119.88
2018-08-30,119.81,3294180,120.08,120.43,119.55
2018-08-31,118.46,5283902,119.4,119.4,118.09
2018-09-04,118.87,4531937,118.93,119.63,118.345
2018-09-05,118.92,4618617,118.06,118.94,117.26
2018-09-06,115.23,8184735,117.89,118.51,115.135
2018-09-07,114.6,6577462,114.52,115.35,113.39
2018-09-10,114.48,5753186,115.43,115.72,114.38
2018-09-11,115.02,5571773,114.34,115.74,113.76
2018-09-12,115.79,5060153,116.42,117.49,115.76
2018-09-13,116.3,6031560,116.01,116.52,115.08
2018-09-14,117.38,4867487,116.43,117.61,116.35
2018-09-17,117.51,4830391,117.61,118.68,117.275
2018-09-18,118.13,4858016,118.5,118.9,117.98
2018-09-19,119.51,4855304,118.33,120.04,118.12
2018-09-20,119.42,5804508,120.19,121.32,119.11
2018-09-21,121.13,13490690,119.91,121.255,119.41
2018-09-24,122.62,6534130,121.91,122.98,121.57
